제목,링크,내용
<b>어린이보호구역</b> 단속카메라 절반은 '먹통'…경찰·지자체 '방치',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005636402,어린이보호구역의 교통사고 예방을 위한 이른바 민식이법 시행 이후 스쿨존 내에 과속단속카메라 설치는 크게 늘었지만 상당수가 무용지물인 것으로 나타났다 일 국회 행정안전위원회 소속 이형석 더불어민주당 
<b>어린이 보호구역</b>서 아이 들이받은 역주행 오토바이…누리꾼들 &quot;운전자 입장도...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004977787,아이들도 항상 주위를 잘 살피고 안전할 때 건너야 한다는 걸 부모들이 잘 교육할 필요성이 있는 영상 민식이법 논하기 전에 어린이보호구역 내 불법주차 차량을 강력단속하는 것이 먼저다 불법을 저지르고 있는 차들을 
제주경찰청, ‘<b>어린이</b> 교통안전지도 제작’ 공모전 개최,http://www.boannews.com/media/view.asp?idx=101112&kind=,이번 공모전을 통해 접수된 출품작들을 대상으로 공정한 심사를 통해 우수작 편을 선발 후 제주청장 상장 및 부상품 등을 수여할 예정이다그간 경찰에서는 어린이보호구역스쿨존 내 어린이 교통사고를 예방하기 
CJ대한통운, 군포 <b>어린이</b> 등하굣길에 '노란발자국'부착,http://www.100ssd.co.kr/news/articleView.html?idxno=80975,대한통운이 경기도 군포시 어린이 보호구역 횡단보도에 노란 발자국을 설치 어린이들을 위한 안전한 등하굣길 만들기에 나섰다 대한통운이 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 
민식이법 이후 <b>어린이</b>교통사고 급감,https://www.ccdailynews.com/news/articleView.html?idxno=2084919,년 월 일 충남 아산의 어린이 보호구역 건널목에서 교통사고로 숨을 거둔 김민식 어린이의 이름을 따서 붙인 법률안으로 어린이 보호구역 내 신호등과 과속단속 카메라 설치 의무화 및 구역 내 교통사고 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.newspim.com/news/view/20210930000344,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
안성시, 유관기관·협력단체 합동 <b>어린이</b> 교통안전 캠페인 전개,http://www.weeklytoday.com/news/articleView.html?idxno=409358, 안성시 유관기관협력단체 합동 어린이 교통안전 캠페인 전개 안성시는 월 일 양진초등학교 앞에서 어린이보호구역 교통문화 질서 확립 및 안전한 교통환경 조성을 위해 안성경찰서 안성녹색어머니회 
DB손해보험, <b>어린이보호구역</b> 교통안전 '옐로카펫' 설치,http://www.newspim.com/news/view/20210927000854,손해보험대표 김정남은 최근 초록우산어린이재단회장 이제훈과 어린이보호구역 교통안전을 위한 옐로카펫설치 및 소외계층 지원을 위한 사랑나눔봉사협약을 체결했다고 일 밝혔다 어린이 교통사고 
여수시, 안전속도 5030 “<b>어린이</b> 안전 우리가 지켜요”,https://www.wikitree.co.kr/articles/692945,여수시시장 권오봉는 지난 일 미평초등학교 일대 어린이 보호구역에서 안전속도  및 속도를 줄이면 어린이가 보입니다를 주제로 교통안전 캠페인을 진행했다고 밝혔다 이날 캠페인에는 녹색어머니회를 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.newslock.co.kr/news/articleView.html?idxno=46756,금호타이어에서 제작한 워크북에는 안전한 보행법어린이 보호구역에서 지켜야 할 안전수칙교통안전 표지판바퀴 달린 놀이기구의 안전한 이용법도전안전 골든벨퀴즈내가 만드는 안전한 학교 가는 길 
안성시, <b>어린이</b> 교통안전 합동 캠페인 전개,http://www.enewstoday.co.kr/news/articleView.html?idxno=1515518,사진안성시 안성시시장 김보라는일 양진초등학교 앞에서 어린이보호구역 교통문화 질서 확립 및 안전한 교통환경 조성을 위해 안성경찰서안성녹색어머니회안성모범운전자회양진초등학교 관계자 등 
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,https://www.ngetnews.com/news/articleView.html?idxno=403419,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
태백시, <b>어린이 보호구역</b> '노란신호등'으로 교체 공사,http://www.weeklytoday.com/news/articleView.html?idxno=408697,또한 년 황지초 어린이보호구역 내 경보등 개 설치한 것을 시작으로 년도에는 노란색 신호등을 상장초등학교 개소 개 중앙초등학교 개소 개를 설치했으며 올해에는 철암초등학교 개소 개를 
영등포구, 지역내 <b>어린이보호구역</b>내 노상주차장 전면 폐쇄,https://www.siminilbo.co.kr/news/newsview.php?ncode=1065594701064109, 사진제공영등포구청 서울 영등포구구청장 채현일는 올해 말까지 지역내 어린이보호구역스쿨존내 운영 중인 모든 노상주차장을 전면 폐쇄한다고 일 밝혔다 이는 어린이보호구역내 불법주정차된 차량이 
파주시, 초등학교 앞 <b>어린이보호구역</b> 내 불법 주·정차 CCTV 설치,http://www.enewstoday.co.kr/news/articleView.html?idxno=1514453,파주시시장 최종환가 금촌초등학교 능안초등학교 등 어린이보호구역 내에 불법 주정차 단속 를 설치하고 일부터 단속한다 초등학교 앞 어린이보호구역 내 불법 주정차  설치 사진파주시 이는 
CJ대한통운, <b>어린이</b> 등하굣길에 '노란발자국' 부착,http://www.businesskorea.co.kr/news/articleView.html?idxno=77296,대한통운이 경기도 군포시어린이보호구역에 노란발자국을 설치하고 있다 노란 발자국은 어린이들이 횡단보도 신호대기 시 안전거리를 유지할 수 있도록 차도와 가량 떨어진 인도 양방향에 부착하는 발자국 
CJ대한통운, 군포지역 <b>어린이</b> 보행 안내 ‘노란발자국’ 부착,https://www.news2day.co.kr/article/20210928500119,노란 정지선과 어린이보호구역 표지판도 설치 대한통운이 굿네이버스와 함께 경기도 군포지역 어린이를 교통안전을 위한 노란발자국 부착을 실시했다고 일 밝혔다 대한통운이 굿네이버스와 함께 어린이 
DB손해보험, <b>어린이</b> 교통안전 위해 횡단보도 '옐로카펫' 설치 나서,http://www.enewstoday.co.kr/news/articleView.html?idxno=1514393,사진손해보험 손해보험이 어린이보호구역 교통안전을 위해 전국 여개 초등학교의 횡단보도 옐로카펫을 설치보수한다 일 손해보험이 초록우산어린이재단과 옐로카펫 설치 및 소외계층 지원을 위한 
파주시, 초등학교 앞 <b>어린이보호구역</b>...불법 주·정차 CCTV 설치,http://www.gukjenews.com/news/articleView.html?idxno=2316088,파주시 초등학교 앞 어린이보호구역불법 주정차  설치사진제공파주시 이운안기자파주시시장최종환가금촌초등학교능안초등학교등어린이보호구역내에불법주정차단속를 
금호타이어 '<b>어린이</b> 교통안전교육' 실시,http://www.namdonews.com/news/articleView.html?idxno=660492,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
공용기 진주경찰서장， <b>어린이</b> 교통안전 챌린지 동참,http://www.gnmaeil.com/news/articleView.html?idxno=480709,공용기 서장은 다음 참여자로 박유진 진주 소방서장 안형준 진주교육지원청 학생건강과장 고무열 모범운전자회장을 지목해 어린이보호구역 내 교통사고 예방에 대한 많은 분의 관심과 참여를 당부했다
금호타이어, 전국 초등학생 대상 '<b>어린이</b> 교통안전교육' 실시,http://www.taxtimes.co.kr/news/article.html?no=251746,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
제주경찰청, <b>어린이</b> 교통안전 지도제작 공모전,https://news.bbsi.co.kr/news/articleView.html?idxno=3045567,제주경찰청 관계자는 이번 공모전을 계기로 운전자들은 어린이 보호구역은 절대적 교통안전확보 구역 어린이는 움직이는 빨간 신호등이라는 사실을 잊지 말고 안전운전을 해 달라고 당부했습니다 한편 최근 
최근 5년간 충청권 <b>어린이</b> 교통사고 전국 평균 웃돌아,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=625509,년 대비 지난해 충청권 어린이 보호구역 지정 개소는 충남 개소 세종 개소 대전 개소가 증가했고 충북은 개소 감소했다 또한 충청권 어린이 보호구역 개소당 교통사고 건수는 대전건 충북건 
광주 남부경찰, <b>어린이 보호구역</b> 불법 주·정차 단속,https://www.jnilbo.com/view/media/view?code=2021093010585539161,광주 남부경찰 교통안전계는 관내 초등학교 앞 불법 주정차 단속을 했다고 일 밝혔다남부경찰은 불법 주정차로 인한 어린이 교통사고 예방을 위해 남구 교통과와 합동으로 단속을 진행했다 이번 단속은 불로초 
DB손보, <b>어린이</b> 교통사고 예방 위해 '옐로카펫' 설치 등 협약 체결,http://www.fntimes.com/html/view.php?ud=202109272025065254b1587365b_18,손해보험은 지난 일 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫 설치 및 소외계층 지원을 위한 사랑나눔봉사 협약을 체결했다고 일 밝혔다 옐로 카펫 설치 캠페인은 어린이 
태백시, <b>어린이 보호구역</b> 노란색 신호등 교체,http://www.shinailbo.co.kr/news/articleView.html?idxno=1465250,또한 지난 년 황지초등학교 어린이보호구역 내 경보등 개 설치한 것을 시작으로 년도에는 노란색 신호등을 상장초등학교 개소 개 중앙초등학교 개소 개를 설치했으며 올해에는 철암초등학교 개소 개를 
과천시, <b>어린이보호구역</b> 사거리에 LED바닥신호등 설치,http://www.incheonilbo.com/news/articleView.html?idxno=1114013, 과천시가 최근 교통사고 없는 안전한 보행환경 조성을 위해 문원초 어린이보호구역 인근 사거리 횡단보도에 바닥형 보행신호등을 설치했다사진제공과천시 과천시는 교통사고 없는 안전한 보행환경 조성을 위해 
CJ대한통운, 안전한 등하굣길 만들기 나섰다...<b>어린이 보호구역</b> 횡단보도에 '...,http://www.paxetv.com/news/articleView.html?idxno=127646,대한통운이 굿네이버스와 함께 군포 지역 내 어린이집 초등학교 등 어린이 보호구역 횡단보도 개소에 교통사고 예방을 돕는 노란 발자국을 설치합니다 노란 발자국 설치 작업은 군포시청 군포경찰서와의 협력을 
DB손보, <b>어린이</b> 교통안전 및 소외계층 지원 위한 협약 체결,http://www.fins.co.kr/news/articleView.html?idxno=91471,손해보험이 지난 일 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫설치 및 소외계층 지원을 위한 사랑나눔봉사협약을 체결했다고 밝혔다 손보가추진하고 있는 옐로 카펫 설치 캠페인은 
교통안전지킴이, <b>어린이</b> 등하굣길 우리가 지킨다!,http://www.gukjenews.com/news/articleView.html?idxno=2317354,한편 어린이 보호구역내 교통사고 발생률이 줄이기 위해 교통안전표지판 설치 보호구역 노면 표시 무인교통 단속장비 설치 과속 방지턱 설치 스마트 횡단보도 설치 등을 추진중이다
여수시, 안전속도 5030 &quot;<b>어린이</b> 안전 우리가 지켜요&quot;,http://www.enewstoday.co.kr/news/articleView.html?idxno=1515062,전남 여수시는 지난 일 미평초등학교 일대 어린이 보호구역에서 안전속도 및 속도를 줄이면 어린이가 보입니다를 주제로 교통안전 캠페인을 진행했다 여수시가 지난 일 미평초등학교 일대 어린이 
제주경찰청, <b>어린이</b> 교통안전 지도제작 공모전,http://www.headlinejeju.co.kr/news/articleView.html?idxno=463606,한편 올해 제주에서 어린이보호구역 내 교통사고는 지난해에 비해  감소했으나 속도위반은 매년 증가하고 있는 것으로 나타났다 경찰에 따르면 지난해 월부터 월까지 도내 어린이보호구역에서 발생한 
&quot;영주 <b>어린이</b> 등하굣길, 우리가 지킨다&quot;,http://www.dkilbo.com/news/articleView.html?idxno=345261,한편 영주시는 어린이 보호구역내 교통사고 발생률이 줄이기 위해 교통안전표지판 설치 보호구역 노면 표시 무인교통 단속장비 설치 과속 방지턱 설치 스마트 횡단보도 설치 등을 추진중이며 경찰서 
광주·전남 <b>어린이보호구역</b> 과속 적발 4년새 '껑충',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010734999,기사내용 요약광주 년 건년 만건 약배 급증 전남도 최근 년 사이 배 늘어단속 장비 대폭 확충 광주전남 지역 어린이보호구역스쿨존 속도위반 적발 건 수가 최근 년 사이 큰 폭으로 
DB손보, 초록우산<b>어린이</b>재단과 ‘사랑나눔봉사’ 협약 맺어,http://www.insnews.co.kr/design_php/news_view.php?num=67024&firstsec=1&secondsec=13,손해보험은 지난 일 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫 설치 및 소외계층 지원을 위한 사랑나눔봉사 협약을 맺었다고 일 밝혔다 옐로카펫 캠페인은 횡단보도 신호대기 
DB손보, <b>어린이</b> 교통안전과 소외계층 지원 위한 '사랑나눔봉사' 협약 체결,https://www.ekn.kr/web/view.php?key=20210927010004037,손해보험은 지난 일 초록우산어린이재단과 어린이보호구역 교통안전을 위한 옐로카펫 설치와 소외계층 지원을 위한 사랑나눔봉사 협약을 체결했다고 일 밝혔다 어린이 교통사고 예방을 위해 
DB손해보험, <b>어린이</b> 교통안전 및 소외계층 지원을 위한 협약 체결,http://www.datanews.co.kr/news/article.html?no=115502,손해보험대표 김정남은 초록우산어린이재단회장 이제훈과 어린이보호구역 교통안전을 위한 옐로카펫 설치 및 소외계층 지원을 위한 사랑나눔봉사 협약을 체결했다고 일 밝혔다 어린이 교통사고 예방을 위해 
금호타이어, 전국 초등학생 대상 ‘<b>어린이</b> 교통안전교육’ 실시,http://www.segyebiz.com/newsView/20210930514942?OutUrl=naver,금호타이어에서 제작한 워크북에는 안전한 보행법 어린이 보호구역에서 지켜야 할 안전수칙 교통안전 표지판 바퀴 달린 놀이기구의 안전한 이용법 도전 안전 골든벨퀴즈 내가 만드는 안전한 학교 가는 길 
